Sl.no,Player's Name,Team,From,Run,Ball,Strike Rate,Six,Four,Highest Run Scored,Balls Bowled,Runs Scored,Economy,Wickets,Ct_St,Run Outs,Matches Played
149,SS Mondal,KKR,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
150,MJ Henry,CSK,NZ,0,0,-,0,0,0,0,0,-,0,0,0,0
151,B Aparajith,CSK,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
152,RG More,CSK,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
153,SS Tiwary,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
154,HS Sharath,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
155,Milind Kumar,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
156,J Yadav,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
157,NLTC Perera,KXI,SL,0,0,-,0,0,0,0,0,-,0,0,0,0
158,Gurkeerat Singh,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
159,Anureet Singh,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
160,SN Thakur,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
161,Jalaj S Saxena,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
162,JR Hazlewood,MI,AUS,0,0,-,0,0,0,0,0,-,0,0,0,0
163,SH Marathe,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
164,DJ Hooda,RR,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
165,AK Bains,RR,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
166,Amit Mishra,RR,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
167,S Sandeep Warrier,BRC,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
168,P Parameswaran,SH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
169,BRM Taylor,SH,ZIM,0,0,-,0,0,0,0,0,-,0,0,0,0
170,AG Paunikar,SH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
171,A Ashish Reddy,SH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
172,MC Juneja,SH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
173,CV Milind,SH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
174,RK Bhui,SH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0
175,R Sharma,DD,IND,0,0,-,0,0,0,36,65,10.8,1,0,0,2
176,S Anirudha,SH,IND,3,5,60,0,0,3,0,0,-,0,0,0,1
177,AD Russell,KKR,WI,2,8,25,0,0,1,30,52,10.4,1,0,0,2
178,P Negi,CSK,IND,0,0,-,0,0,0,42,75,10.7,0,1,0.5,2
179,M Kartik,KXI,IND,0,0,-,0,0,0,48,91,11.4,1,1,0,2
180,UBT Chand,RR,IND,2,9,22.2,0,0,2,0,0,-,0,0,0,1
181,V Shankar,CSK,IND,0,0,-,0,0,0,6,19,19,0,0,0,1
182,SB Jakati,BRC,IND,0,0,-,0,0,0,22,41,11.2,0,0,0,1
