Sl.No,Player's Name,Team,From,Run,Ball,Strike Rate,Four,Six,Highest Run Scored,BallsBowled,RunsConceded,Economy,Wickets,Ct_St,Run Outs,Matches Played,Age
65,David Miller,KXI,AUS,418,254,164.6,28,24,101,0,0,-,0,8,0,12,24
66,David Warner,DD,AUS,410,323,126.9,41,14,77,0,0,-,0,6,1,16,26
67,Debabrata Das,KKR,IND,75,74,101.4,5,5,23,0,0,-,0,2,0.5,10,26
68,Dhawal Kulkarni,MI,IND,0,0,-,0,0,0,112,151,8.1,8,0,0,6,24
69,Dheeraj Jadhav,PWI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,33
70,Dimitri Mascarenhas,KXI,ENG,5,5,100,0,0,5,24,25,6.3,0,0,0,1,35
71,Dinesh Karthik,MI,IND,489,385,127,51,14,86,0,0,-,0,12,1,18,28
72,Dirk Nannes,CSK,AUS,0,0,-,0,0,0,119,158,8,4,3,0,5,37
73,Dishant Yagnik,RR,IND,125,96,130.2,17,2,34,0,0,-,0,7,2.4,12,29
74,Dwaraka Ravi Teja,SH,IND,14,17,82.4,0,0,10,0,0,-,0,0,0,2,25
75,Dwayne Bravo,CSK,WI,106,90,117.8,8,3,23,351,455,7.8,28,14,0.5,17,29
76,Dwayne Smith,MI,WI,414,337,122.8,39,19,68,30,59,11.8,2,7,0,12,30
77,Eklavya Dwivedi,PWI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24
78,Eoin Morgan,KKR,ENG,307,240,127.9,28,13,51,0,0,-,0,6,1,14,26
79,Faf du Plessis,CSK,SA,0,0,-,0,0,0,0,0,-,0,0,0,0,28
80,Fidel Edwards,RR,WI,0,0,-,0,0,0,0,0,-,0,0,0,0,31
81,Gautam Gambhir,KKR,IND,406,343,118.4,51,5,60,0,0,-,0,2,0,16,31
82,Glenn Maxwell,MI,IND,36,27,133.3,1,4,23,12,23,11.5,0,1,0.5,3,24
83,Gulam Bodi,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,34
84,Gurkeerat Singh,KXI,IND,108,95,113.7,10,3,31,0,0,-,0,5,0.5,11,22
85,Hanuma Vihari,SH,IND,241,278,86.7,17,1,46,36,38,6.3,1,4,0.5,17,19
86,Harbhajan Singh,MI,IND,102,71,143.7,9,5,25,402,442,6.6,22,9,0,18,32
87,Harmeet Singh,KXI,IND,3,4,75,0,0,3,44,63,8.6,2,1,0.5,3,25
88,Harmeet Singh,RR,IND,0,0,-,0,0,0,24,34,8.5,1,0,0,1,25
89,Harpreet Singh,PWI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,21
90,Harshal Patel,BRC,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,22
91,Imtiaz Ahmed,CSK,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,27
92,Iqbal Abdulla,KKR,IND,8,14,57.1,0,0,6,113,142,7.5,7,0,0,5,23
93,Irfan Pathan,DD,IND,142,152,93.4,9,3,24,308,382,7.4,10,4,1.5,15,28
