Sl.No,Player's Name,Team,From,Run,Ball,Strike Rate,Four,Six,Highest Run Scored,Balls Bowled,Runs Conceded,Economy,Wickets,Ct_St,Run Outs,Matches Played
135,Umesh Yadav,KKR,IND,29,14,207.1,5,1,24,252,382,9.1,10,5,0,12
136,Unmukt Chand,MI,IND,102,83,122.9,13,2,58,0,0,-,0,4,0,6
137,Varun Aaron,RCB,IND,6,3,200,0,1,6,104,177,10.2,3,1,0.5,6
138,Vinay Kumar,MI,IND,0,2,0,0,0,0,261,368,8.5,7,6,1,13
139,Virat Kohli ,RCB,IND,505,386,130.8,35,23,82,11,10,5.5,0,7,2,16
140,Virender Sehwag,KXI,IND,99,84,117.9,12,3,47,0,0,-,0,0,0,8
141,Wriddhiman Saha ,KXI,IND,249,197,126.4,16,10,42,0,0,-,0,14,0,14
142,Yusuf Pathan,KKR,IND,312,231,135.1,29,12,52,60,97,9.7,2,3,1,13
143,Yuvraj Singh,DD,IND,248,210,118.1,23,10,57,54,72,8,1,2,0,14
144,Yuzvendra Chahal,RCB,IND,1,1,100,0,0,1,281,415,8.9,23,4,1.5,15
145,Zaheer Khan,DD,IND,0,0,-,0,0,0,145,156,6.5,7,0,0,7
