Sl.no,Player's Name,Team,From,Run,Ball,Strike Rate,Four,Six,Highest Run Scored,Balls Bowled,Runs Conceded,Economy,Wickets,Ct_St,Run Outs,Matches Played,Age,Type
98,Lendl Simmons,MI,WI,137,112,122.3,10,8,66,0,0,-,0,2,0,7,32,BAT
99,Lockie Ferguson,RPS,NZ,1,1,100,0,0,1,78,93,7.2,3,0,0.5,4,26,Bowl
100,Lokesh Rahul,RCB,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,25,WK
101,Manan Vohra,KXI,IND,229,159,144,23,9,95,0,0,-,0,2,0,11,24,BAT
102,Mandeep Singh,RCB,IND,188,177,106.2,21,4,52,0,0,-,0,6,0,11,25,BAT
103,Manish Pandey,KKR,IND,396,308,128.6,28,12,81,0,0,-,0,8,0,14,28,BAT
104,Manoj Tiwary,RPS,IND,324,236,137.3,31,11,60,0,0,-,0,6,0,15,31,BAT
105,Manpreet Gony,GL,IND,0,0,-,0,0,0,12,32,16,0,0,0,1,30,Bowl
106,Marcus Stoinis,KXI,AUS,17,24,70.8,1,0,9,63,110,10.5,2,3,0,5,28,AR
107,Marlon Samuels,DD,#N/A,29,31,93.5,1,2,27,18,34,11.3,0,1,0,5,#N/A,NA
108,Martin Guptill,KXI,NZ,132,88,150,17,5,50,0,0,-,0,6,0,7,31,BAT
109,Matt Henry,KXI,NZ,0,0,-,0,0,0,30,71,14.2,1,0,0,2,25,Bowl
110,Mayank Agarwal,RPS,IND,26,27,96.3,3,0,20,0,0,-,0,2,1,3,26,BAT
111,Milind Tandon,RPS,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,23,AR
112,Mitchell Johnson,MI,AUS,20,17,117.6,1,1,13,120,141,7.1,7,1,0,5,35,Bowl
113,Mitchell Marsh,RPS,AUS,0,0,-,0,0,0,0,0,-,0,0,0,0,25,AR
114,Mitchell McClenaghan,MI,NZ,16,15,106.7,0,1,12,324,507,9.4,19,1,0,14,31,Bowl
115,Mohammad Nabi,SH,AFG,2,3,66.7,0,0,2,66,58,5.3,2,0,0,3,32,AR
116,Mohammed Shami,DD,IND,36,24,150,4,2,21,156,243,9.3,5,0,1.5,8,27,Bowl
117,Mohammed Siraj,SH,IND,0,0,-,0,0,0,138,212,9.2,10,1,0,6,23,Bowl
118,Mohit Sharma,KXI,IND,51,50,102,3,0,13,274,410,9,13,3,0,14,29,Bowl
119,Moises Henriques,SH,AUS,277,203,136.5,28,4,55,144,248,10.3,1,5,0,12,30,AR
120,MS Dhoni,RPS,IND,290,250,116,15,16,61,0,0,-,0,13,3,16,36,WK
121,Munaf Patel,GL,IND,0,1,0,0,0,0,42,57,8.1,1,0,0,2,34,Bowl
122,Murali Vijay,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,33,BAT
123,Murugan Ashwin,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,27,Bowl
124,Mustafizur Rahman,SH,BAN,0,0,-,0,0,0,16,34,12.8,0,0,0,1,22,Bowl
125,Naman Ojha,SH,IND,79,65,121.5,2,3,34,0,0,-,0,6,0,14,34,WK
126,Nathan Coulter-Nile,KKR,AUS,14,12,116.7,0,2,6,170,228,8,15,2,0.5,8,30,Bowl
127,Nathu Singh,GL,IND,0,0,-,0,0,0,24,15,3.8,1,0,0,2,22,Bowl
128,Navdeep Saini,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24,Bowl
129,Nicholas Pooran,MI,WI,0,0,-,0,0,0,0,0,-,0,0,0,0,22,WK
130,Nikhil Naik,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,22,WK
131,Nitish Rana,MI,IND,333,264,126.1,24,17,62,0,0,-,0,4,0,13,23,BAT
132,Pardeep Sahu,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,32,Bowl
133,Parthiv Patel,MI,IND,395,293,134.8,49,8,70,0,0,-,0,8,1.5,16,32,WK
134,Pat Cummins,DD,AUS,77,53,145.3,5,4,24,277,373,8.1,15,1,1,12,24,Bowl
135,Pawan Negi,RCB,IND,144,111,129.7,10,7,35,193,197,6.1,16,3,0.5,12,24,AR
136,Piyush Chawla,KKR,IND,2,6,33.3,0,0,2,120,179,9,6,1,0,6,28,Bowl
137,Pradeep Sangwan,GL,IND,2,4,50,0,0,1,108,181,10.1,5,0,0,5,26,Bowl
138,Pratham Singh,GL,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,25,AR
139,Pratyush Singh,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,23,BAT
140,Praveen Dubey,RCB,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24,AR
141,Praveen Kumar,GL,IND,8,9,88.9,0,0,7,99,151,9.2,6,0,0,6,31,Bowl
142,Pravin Tambe,SH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,46,Bowl
143,Quinton de Kock,DD,SA,0,0,-,0,0,0,0,0,-,0,0,0,0,24,WK
144,Rahul Chahar,RPS,IND,3,2,150,0,0,3,42,58,8.3,2,1,0,3,18,Bowl
145,Rahul Tewatia,KXI,IND,19,11,172.7,4,0,15,54,49,5.4,3,0,0,3,24,AR
146,Rahul Tripathi,RPS,IND,391,267,146.4,43,17,93,6,12,12,0,5,0,14,26,AR
147,Rajat Bhatia,RPS,IND,16,17,94.1,0,1,16,42,55,7.9,2,2,0,3,37,Bowl
148,Rashid Khan,SH,AFG,11,9,122.2,0,1,6,324,358,6.6,17,5,2,14,19,Bowl
149,Ravichandran Ashwin,RPS,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,31,Bowl
150,Ravindra Jadeja,GL,IND,158,113,139.8,13,4,28,228,349,9.2,5,2,5,12,28,AR
151,Ricky Bhui,SH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,21,BAT
152,Rinku Singh,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,20,BAT
153,Rishabh Pant,DD,IND,366,221,165.6,28,24,97,0,0,-,0,11,0.5,14,20,WK
154,Rishi Dhawan,KKR,IND,0,0,-,0,0,0,0,0,-,0,1,0,0,27,AR
155,Robin Uthappa,KKR,IND,388,235,165.1,36,21,87,0,0,-,0,15,0.5,14,31,WK
156,Rohit Sharma,MI,IND,333,273,122,31,9,67,0,0,-,0,10,0,17,30,BAT
157,Rovman Powell,KKR,WI,0,0,-,0,0,0,0,0,-,0,1,0,0,24,AR
158,Sachin Baby,RCB,IND,15,15,100,2,0,12,0,0,-,0,2,0,3,28,BAT
159,Sam Billings,DD,ENG,138,104,132.7,19,1,55,0,0,-,0,4,0,6,26,WK
160,Samuel Badree,RCB,WI,13,23,56.5,0,0,8,150,188,7.5,9,2,0,7,36,Bowl
161,Sandeep Sharma,KXI,IND,7,6,116.7,0,0,5,288,398,8.3,17,3,0,13,24,Bowl
162,Sanjay Yadav,KKR,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,22,AR
163,Sanju Samson,DD,IND,386,273,141.4,32,19,102,0,0,-,0,4,1,14,22,WK
164,Sarfaraz Khan,RCB,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,19,BAT
165,Saurabh Kumar,RPS,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24,Bowl
166,Saurabh Tiwary,MI,IND,52,43,120.9,9,0,52,0,0,-,0,0,0,1,27,BAT
167,Sayan Ghosh,KKR,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,25,Bowl
168,Shadab Jakati,GL,IND,0,0,-,0,0,0,30,52,10.4,0,0,0,2,36,Bowl
169,Shahbaz Nadeem,DD,IND,2,9,22.2,0,0,2,107,119,6.7,6,2,1.5,7,28,Bowl
170,Shakib Al Hasan,KKR,BAN,1,1,100,0,0,1,18,31,10.3,0,0,0,1,30,AR
171,Shane Watson,RCB,AUS,71,78,91,6,1,24,161,245,9.1,5,2,0,8,36,AR
