Player,RohitSharma,ShaneWatson,ViratKohli,ABdeVilliers,SureshRaina,MSDhoni
2008,404,392,165,95,323,385
2009,326,0,246,512,434,332
2010,404,185,307,111,524,287
2011,372,330,557,312,438,392
2012,433,255,364,317,341,321
2013,536,543,634,360,548,398
2014,390,240,359,395,523,371
2015,482,347,505,513,99,372
2016,489,179,973,687,399,284
2017,333,71,308,216,442,290
2018,286,555,530,480,445,455
