Player,SunilNarine,BhuvneshwarKumar,JaspritBumrah
2008,0,0,0
2009,0,0,0
2010,0,0,0
2011,0,6.09,0
2012,5.47,7.2,0
2013,5.46,6.5,10
2014,6.35,6.65,7.58
2015,7.31,7.87,12.26
2016,7.09,7.42,7.8
2017,6.98,7.05,7.35
2018,7.65,7.66,6.88
